title,subtitle,author,content,link,category
Builders Association of India asks for a hike in infra spending in pre-budget proposal,It has also sought single window clearance system for infra projects and reduction in GST on construction material,The Hindu Bureau,"Builders Association of India asks for a hike in infra spending in pre-budget proposal It has also sought single window clearance system for infra projects and reduction in GST on construction material The Builders Association of India (BAI), which represents engineering construction contractors and real estate companies, in its pre-budget submission, has demanded an increase in infrastructure budget, tax incentives for infra companies, reduction in corporate tax. It has also sought single window clearance system for infra projects, reduction in GST on construction material, constitution of infra investment trust among others.",https://www.thehindu.com/business/builders-association-of-india-asks-for-a-hike-in-infra-spending-in-pre-budget-proposal/article68968496.ece,business
Trudeau says Americans are realizing Trump’s tariffs on Canada would make life a lot more expensive,"Canadian Prime Minister Justin Trudeau says Americans are realizing that ""tariffs on everything from Canada would make life a lot more expensive"" and says he would retaliate if Donald Trump imposes them",Miscellaneous,"Trudeau says Americans are realizing Trump’s tariffs on Canada would make life a lot more expensive Canadian Prime Minister Justin Trudeau says Americans are realizing that ""tariffs on everything from Canada would make life a lot more expensive"" and says he would retaliate if Donald Trump imposes them Canadian Prime Minister Justin Trudeau said Monday that Americans “are beginning to wake up to the real reality that tariffs on everything from Canada would make life a lot more expensive"" and said he will retaliate if Donald Trump goes ahead with them. Mr. Trump later responded by calling Canada a state and Mr. Trudeau the governor.",https://www.thehindu.com/business/trudeau-says-americans-are-realizing-trumps-tariffs-on-canada-would-make-life-a-lot-more-expensive/article68968637.ece,business
WazirX files application for creditors’ meeting to present and vote on restructuring scheme,WazirX’s crypto operating entity Zettai has filed an application with the Singapore High Court so that it can take the restructuring process forward with creditors and carry out a vote,The Hindu Bureau,"WazirX files application for creditors’ meeting to present and vote on restructuring scheme WazirX’s crypto operating entity Zettai has filed an application with the Singapore High Court so that it can take the restructuring process forward with creditors and carry out a vote WazirX’s crypto operating entity Zettai said that it had filed an application with the Singapore High Court in order to carry out a creditors’ meeting where it could present and conduct a vote on the post-hack restructuring scheme. WazirX claimed that its scheme of arrangement was aimed at providing quick and fair recoveries. If approved, initial distributions could take place within 10 business days (per WazirX’s definition of the same in the proposal) after the scheme becomes effective.",https://www.thehindu.com/sci-tech/technology/wazirx-files-application-for-creditors-meeting-to-present-and-vote-on-restructuring-scheme/article68968373.ece,business
"India's steel expansion could hinder net zero emission goal, GEM says","India aims to reach a capacity of 300 million metric tons by 2030, up from the current 180 million metric tons in the production of steel",Miscellaneous,"India's steel expansion could hinder net zero emission goal, GEM says India aims to reach a capacity of 300 million metric tons by 2030, up from the current 180 million metric tons in the production of steel India's plans to ramp up coal-powered steelmaking capacity could impede the country's goal of net-zero carbon emissions by 2070, Global Energy Monitor (GEM) said in a report on Tuesday (December 10, 2024). Prime Minister Narendra Modi has set 2070 as the target for achieving net zero emissions, two decades later than what scientists recommend to avoid catastrophic climate impacts.",https://www.thehindu.com/business/indias-steel-expansion-could-hinder-net-zero-emission-goal-gem-says/article68968315.ece,business
"Will work to understand all perspectives, do what's best for economy: RBI Governor-designate Sanjay Malhotra",Sanjay Malhotra will over as the 26th Governor of the RBI at a time when it is under pressure to cut interest rates to support growth,Miscellaneous,"Will work to understand all perspectives, do what's best for economy: RBI Governor-designate Sanjay Malhotra Sanjay Malhotra will over as the 26th Governor of the RBI at a time when it is under pressure to cut interest rates to support growth Revenue Secretary Sanjay Malhotra on Tuesday (December 10, 2024) said he will work to understand all perspectives and do what is best for the economy after he takes charge as the RBI Governor on December 11. Watch | Who is Sanjay Malhotra, the next RBI chief?",https://www.thehindu.com/business/Economy/will-work-to-understand-all-perspectives-do-whats-best-for-economy-rbi-guv-designate/article68968342.ece,business
"Sixteen-fold rise in urban sector investments since 2014, says Manohar Lal Khattar","Manohar Lal Khattar said a new rental housing vertical has been introduced under the second phase of the Pradhan Mantri Awas Yojana (Urban), benefiting the migrant population",Miscellaneous,"Sixteen-fold rise in urban sector investments since 2014, says Manohar Lal Khattar Manohar Lal Khattar said a new rental housing vertical has been introduced under the second phase of the Pradhan Mantri Awas Yojana (Urban), benefiting the migrant population Union Minister Manohar Lal Khattar on Tuesday (December 10, 2024) said there has been a substantial increase in investments in the urban sector since 2014 and emphasised the Centre’s dedication to realising the vision of ‘Viksit Bharat’ by 2047. Addressing a press conference on achievements of his Ministry, the Union Housing and Urban Affairs Minister said investments have increased 16-fold, rising from approximately ₹1,78,053 crore between 2004 and 2014 to ₹28,52,527 crore since 2014.",https://www.thehindu.com/news/national/sixteen-fold-rise-in-urban-sector-investments-since-2014-says-manohar-lal-khattar/article68968899.ece,business
China ready to go deeper into debt to counter Trump's tariffs,No Subtitle,Miscellaneous,"China ready to go deeper into debt to counter Trump's tariffs No Subtitle In one of their most dovish statements in more than a decade, Chinese leaders signalled on Monday they are ready to deploy whatever stimulus is needed to counter the impact of expected U.S. trade tariffs on next year's economic growth. After a meeting of top Communist Party officials, the Politburo, officials said they would switch to an ""appropriately loose"" monetary policy stance, and ""more proactive"" fiscal levers.",https://www.thehindu.com/business/china-ready-to-go-deeper-into-debt-to-counter-trumps-tariffs/article68968617.ece,business
The Onion’s bid for Infowars is still in Court as Judge reviews auction,The Onion’s bid to buy conspiracy theorist Alex Jones’ Infowars is back in a Texas courtroom,Miscellaneous,"The Onion’s bid for Infowars is still in Court as Judge reviews auction The Onion’s bid to buy conspiracy theorist Alex Jones’ Infowars is back in a Texas courtroom A bankruptcy Judge scrutinising The Onion’s bid for Alex Jones ’ Infowars platform was expected to hear a second day of testimony on Tuesday (December 10, 2024) after an auctioneer defended the satirical news outlet’s winning offer in November 2024. It is not clear how quickly U.S. Bankruptcy Judge Christopher Lopez in Houston will decide whether to approve the bid. The Onion, which wants to turn Infowars’ website and social media accounts into parodies, offered $1.75 million for Infowars’ assets in the auction.",https://www.thehindu.com/news/international/the-onions-bid-for-infowars-is-still-in-court-as-judge-reviews-auction/article68968127.ece,business
Rupee settles on a flat note near all-time low at 84.85 against U.S. dollar,Forex traders said markets now expect a rate cut in the upcoming monetary policy in February,Miscellaneous,"Rupee settles on a flat note near all-time low at 84.85 against U.S. dollar Forex traders said markets now expect a rate cut in the upcoming monetary policy in February The rupee settled for the day on a flat note higher by just 1 paisa at 84.85 (provisional) against the U.S. dollar on Tuesday (December 10, 2024), a tad above its all-time low level, as change of guard at the Reserve Bank of India raised expectations of a shift in the central bank's monetary policy. The government on Monday (December 9, 2024) appointed Revenue Secretary Sanjay Malhotra as the 26th Governor of the Reserve Bank of India.",https://www.thehindu.com/business/markets/rupee-settles-on-a-flat-note-near-all-time-low-at-8485-against-us-dollar/article68968915.ece,business
RBI approves Burman family entities' open offer to acquire 26% additional stake in REL,The central bank also directed maintaining of the current board/management structure of REL.,Miscellaneous,RBI approves Burman family entities' open offer to acquire 26% additional stake in REL The central bank also directed maintaining of the current board/management structure of REL. The Reserve Bank has approved the open offer of Burman family -- the promoters of FMCG major Dabur -- to acquire an additional 26% stake in NBFC firm Religare Enterprises Ltd (REL). The central bank also directed maintaining of the current board/management structure of REL.,https://www.thehindu.com/business/Industry/rbi-approves-burman-family-entities-open-offer-to-acquire-26-additional-stake-in-rel/article68968957.ece,business
"Bharat Forge raises ₹1,650 crore through QIP","The issue of the QIP was done at ₹1,320 per share while the floor price as per SEBI ICDR was ₹1,323.54 per share",The Hindu Bureau,"Bharat Forge raises ₹1,650 crore through QIP The issue of the QIP was done at ₹1,320 per share while the floor price as per SEBI ICDR was ₹1,323.54 per share Bharat Forge Ltd said it has raised ₹1,650 crore via Qualified Institutional Placement (QIP). “The issue witnessed significant interest across Domestic & Foreign Qualified Institutional investors resulting in more than 10 times the demand of the issue size,” the company said.",https://www.thehindu.com/business/bharat-forge-raises-1650-crore-through-qip/article68968555.ece,business
"Periphery areas in key real estate markets see better appreciation than prime areas, finds study",Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69%,The Hindu Bureau,"Periphery areas in key real estate markets see better appreciation than prime areas, finds study Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69% Some periphery areas have seen higher real estate price appreciation over the past six years than many prime locations in the top seven cities, according to findings by a research by consulting firm Anarock. To illustrate, Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69%- it rose from ₹5,030 per sq. ft. in 2019 to ₹8,500 per sq. ft. in Q3 2024.",https://www.thehindu.com/business/periphery-areas-in-key-real-estate-markets-see-better-appreciation-than-prime-areas-finds-study/article68968508.ece,business
"Five years since inception, US development agency competes with China on global projects",No Subtitle,Miscellaneous,"Five years since inception, US development agency competes with China on global projects No Subtitle When President Joe Biden visited Angola last week, one of the highlights was his pledge of hundreds of millions of dollars for an ambitious trans-Africa rail project that would bring copper and cobalt from central Africa to the Atlantic port of Lobito. The project is possible because of the commitment of a $553 million direct loan from the US International Development Finance Corporation, created in 2019 during the first Trump administration to counter China's expansion of its global reach through infrastructure projects, such as the mega-port in Chancay, Peru, inaugurated just last month.",https://www.thehindu.com/business/five-years-since-inception-us-development-agency-competes-with-china-on-global-projects/article68968625.ece,business
Builders Association of India asks for a hike in infra spending in pre-budget proposal,It has also sought single window clearance system for infra projects and reduction in GST on construction material,The Hindu Bureau,"Builders Association of India asks for a hike in infra spending in pre-budget proposal It has also sought single window clearance system for infra projects and reduction in GST on construction material The Builders Association of India (BAI), which represents engineering construction contractors and real estate companies, in its pre-budget submission, has demanded an increase in infrastructure budget, tax incentives for infra companies, reduction in corporate tax. It has also sought single window clearance system for infra projects, reduction in GST on construction material, constitution of infra investment trust among others.",https://www.thehindu.com/business/builders-association-of-india-asks-for-a-hike-in-infra-spending-in-pre-budget-proposal/article68968496.ece,business
Trudeau says Americans are realizing Trump’s tariffs on Canada would make life a lot more expensive,"Canadian Prime Minister Justin Trudeau says Americans are realizing that ""tariffs on everything from Canada would make life a lot more expensive"" and says he would retaliate if Donald Trump imposes them",Miscellaneous,"Trudeau says Americans are realizing Trump’s tariffs on Canada would make life a lot more expensive Canadian Prime Minister Justin Trudeau says Americans are realizing that ""tariffs on everything from Canada would make life a lot more expensive"" and says he would retaliate if Donald Trump imposes them Canadian Prime Minister Justin Trudeau said Monday that Americans “are beginning to wake up to the real reality that tariffs on everything from Canada would make life a lot more expensive"" and said he will retaliate if Donald Trump goes ahead with them. Mr. Trump later responded by calling Canada a state and Mr. Trudeau the governor.",https://www.thehindu.com/business/trudeau-says-americans-are-realizing-trumps-tariffs-on-canada-would-make-life-a-lot-more-expensive/article68968637.ece,business
WazirX files application for creditors’ meeting to present and vote on restructuring scheme,WazirX’s crypto operating entity Zettai has filed an application with the Singapore High Court so that it can take the restructuring process forward with creditors and carry out a vote,The Hindu Bureau,"WazirX files application for creditors’ meeting to present and vote on restructuring scheme WazirX’s crypto operating entity Zettai has filed an application with the Singapore High Court so that it can take the restructuring process forward with creditors and carry out a vote WazirX’s crypto operating entity Zettai said that it had filed an application with the Singapore High Court in order to carry out a creditors’ meeting where it could present and conduct a vote on the post-hack restructuring scheme. WazirX claimed that its scheme of arrangement was aimed at providing quick and fair recoveries. If approved, initial distributions could take place within 10 business days (per WazirX’s definition of the same in the proposal) after the scheme becomes effective.",https://www.thehindu.com/sci-tech/technology/wazirx-files-application-for-creditors-meeting-to-present-and-vote-on-restructuring-scheme/article68968373.ece,business
"India's steel expansion could hinder net zero emission goal, GEM says","India aims to reach a capacity of 300 million metric tons by 2030, up from the current 180 million metric tons in the production of steel",Miscellaneous,"India's steel expansion could hinder net zero emission goal, GEM says India aims to reach a capacity of 300 million metric tons by 2030, up from the current 180 million metric tons in the production of steel India's plans to ramp up coal-powered steelmaking capacity could impede the country's goal of net-zero carbon emissions by 2070, Global Energy Monitor (GEM) said in a report on Tuesday (December 10, 2024). Prime Minister Narendra Modi has set 2070 as the target for achieving net zero emissions, two decades later than what scientists recommend to avoid catastrophic climate impacts.",https://www.thehindu.com/business/indias-steel-expansion-could-hinder-net-zero-emission-goal-gem-says/article68968315.ece,business
"Will work to understand all perspectives, do what's best for economy: RBI Governor-designate Sanjay Malhotra",Sanjay Malhotra will over as the 26th Governor of the RBI at a time when it is under pressure to cut interest rates to support growth,Miscellaneous,"Will work to understand all perspectives, do what's best for economy: RBI Governor-designate Sanjay Malhotra Sanjay Malhotra will over as the 26th Governor of the RBI at a time when it is under pressure to cut interest rates to support growth Revenue Secretary Sanjay Malhotra on Tuesday (December 10, 2024) said he will work to understand all perspectives and do what is best for the economy after he takes charge as the RBI Governor on December 11. Watch | Who is Sanjay Malhotra, the next RBI chief?",https://www.thehindu.com/business/Economy/will-work-to-understand-all-perspectives-do-whats-best-for-economy-rbi-guv-designate/article68968342.ece,business
"Sixteen-fold rise in urban sector investments since 2014, says Manohar Lal Khattar","Manohar Lal Khattar said a new rental housing vertical has been introduced under the second phase of the Pradhan Mantri Awas Yojana (Urban), benefiting the migrant population",Miscellaneous,"Sixteen-fold rise in urban sector investments since 2014, says Manohar Lal Khattar Manohar Lal Khattar said a new rental housing vertical has been introduced under the second phase of the Pradhan Mantri Awas Yojana (Urban), benefiting the migrant population Union Minister Manohar Lal Khattar on Tuesday (December 10, 2024) said there has been a substantial increase in investments in the urban sector since 2014 and emphasised the Centre’s dedication to realising the vision of ‘Viksit Bharat’ by 2047. Addressing a press conference on achievements of his Ministry, the Union Housing and Urban Affairs Minister said investments have increased 16-fold, rising from approximately ₹1,78,053 crore between 2004 and 2014 to ₹28,52,527 crore since 2014.",https://www.thehindu.com/news/national/sixteen-fold-rise-in-urban-sector-investments-since-2014-says-manohar-lal-khattar/article68968899.ece,business
China ready to go deeper into debt to counter Trump's tariffs,No Subtitle,Miscellaneous,"China ready to go deeper into debt to counter Trump's tariffs No Subtitle In one of their most dovish statements in more than a decade, Chinese leaders signalled on Monday they are ready to deploy whatever stimulus is needed to counter the impact of expected U.S. trade tariffs on next year's economic growth. After a meeting of top Communist Party officials, the Politburo, officials said they would switch to an ""appropriately loose"" monetary policy stance, and ""more proactive"" fiscal levers.",https://www.thehindu.com/business/china-ready-to-go-deeper-into-debt-to-counter-trumps-tariffs/article68968617.ece,business
The Onion’s bid for Infowars is still in Court as Judge reviews auction,The Onion’s bid to buy conspiracy theorist Alex Jones’ Infowars is back in a Texas courtroom,Miscellaneous,"The Onion’s bid for Infowars is still in Court as Judge reviews auction The Onion’s bid to buy conspiracy theorist Alex Jones’ Infowars is back in a Texas courtroom A bankruptcy Judge scrutinising The Onion’s bid for Alex Jones ’ Infowars platform was expected to hear a second day of testimony on Tuesday (December 10, 2024) after an auctioneer defended the satirical news outlet’s winning offer in November 2024. It is not clear how quickly U.S. Bankruptcy Judge Christopher Lopez in Houston will decide whether to approve the bid. The Onion, which wants to turn Infowars’ website and social media accounts into parodies, offered $1.75 million for Infowars’ assets in the auction.",https://www.thehindu.com/news/international/the-onions-bid-for-infowars-is-still-in-court-as-judge-reviews-auction/article68968127.ece,business
Rupee settles on a flat note near all-time low at 84.85 against U.S. dollar,Forex traders said markets now expect a rate cut in the upcoming monetary policy in February,Miscellaneous,"Rupee settles on a flat note near all-time low at 84.85 against U.S. dollar Forex traders said markets now expect a rate cut in the upcoming monetary policy in February The rupee settled for the day on a flat note higher by just 1 paisa at 84.85 (provisional) against the U.S. dollar on Tuesday (December 10, 2024), a tad above its all-time low level, as change of guard at the Reserve Bank of India raised expectations of a shift in the central bank's monetary policy. The government on Monday (December 9, 2024) appointed Revenue Secretary Sanjay Malhotra as the 26th Governor of the Reserve Bank of India.",https://www.thehindu.com/business/markets/rupee-settles-on-a-flat-note-near-all-time-low-at-8485-against-us-dollar/article68968915.ece,business
RBI approves Burman family entities' open offer to acquire 26% additional stake in REL,The central bank also directed maintaining of the current board/management structure of REL.,Miscellaneous,RBI approves Burman family entities' open offer to acquire 26% additional stake in REL The central bank also directed maintaining of the current board/management structure of REL. The Reserve Bank has approved the open offer of Burman family -- the promoters of FMCG major Dabur -- to acquire an additional 26% stake in NBFC firm Religare Enterprises Ltd (REL). The central bank also directed maintaining of the current board/management structure of REL.,https://www.thehindu.com/business/Industry/rbi-approves-burman-family-entities-open-offer-to-acquire-26-additional-stake-in-rel/article68968957.ece,business
"Bharat Forge raises ₹1,650 crore through QIP","The issue of the QIP was done at ₹1,320 per share while the floor price as per SEBI ICDR was ₹1,323.54 per share",The Hindu Bureau,"Bharat Forge raises ₹1,650 crore through QIP The issue of the QIP was done at ₹1,320 per share while the floor price as per SEBI ICDR was ₹1,323.54 per share Bharat Forge Ltd said it has raised ₹1,650 crore via Qualified Institutional Placement (QIP). “The issue witnessed significant interest across Domestic & Foreign Qualified Institutional investors resulting in more than 10 times the demand of the issue size,” the company said.",https://www.thehindu.com/business/bharat-forge-raises-1650-crore-through-qip/article68968555.ece,business
"Periphery areas in key real estate markets see better appreciation than prime areas, finds study",Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69%,The Hindu Bureau,"Periphery areas in key real estate markets see better appreciation than prime areas, finds study Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69% Some periphery areas have seen higher real estate price appreciation over the past six years than many prime locations in the top seven cities, according to findings by a research by consulting firm Anarock. To illustrate, Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69%- it rose from ₹5,030 per sq. ft. in 2019 to ₹8,500 per sq. ft. in Q3 2024.",https://www.thehindu.com/business/periphery-areas-in-key-real-estate-markets-see-better-appreciation-than-prime-areas-finds-study/article68968508.ece,business
"Five years since inception, US development agency competes with China on global projects",No Subtitle,Miscellaneous,"Five years since inception, US development agency competes with China on global projects No Subtitle When President Joe Biden visited Angola last week, one of the highlights was his pledge of hundreds of millions of dollars for an ambitious trans-Africa rail project that would bring copper and cobalt from central Africa to the Atlantic port of Lobito. The project is possible because of the commitment of a $553 million direct loan from the US International Development Finance Corporation, created in 2019 during the first Trump administration to counter China's expansion of its global reach through infrastructure projects, such as the mega-port in Chancay, Peru, inaugurated just last month.",https://www.thehindu.com/business/five-years-since-inception-us-development-agency-competes-with-china-on-global-projects/article68968625.ece,business
Builders Association of India asks for a hike in infra spending in pre-budget proposal,It has also sought single window clearance system for infra projects and reduction in GST on construction material,The Hindu Bureau,"Builders Association of India asks for a hike in infra spending in pre-budget proposal It has also sought single window clearance system for infra projects and reduction in GST on construction material The Builders Association of India (BAI), which represents engineering construction contractors and real estate companies, in its pre-budget submission, has demanded an increase in infrastructure budget, tax incentives for infra companies, reduction in corporate tax. It has also sought single window clearance system for infra projects, reduction in GST on construction material, constitution of infra investment trust among others.",https://www.thehindu.com/business/builders-association-of-india-asks-for-a-hike-in-infra-spending-in-pre-budget-proposal/article68968496.ece,business
Trudeau says Americans are realizing Trump’s tariffs on Canada would make life a lot more expensive,"Canadian Prime Minister Justin Trudeau says Americans are realizing that ""tariffs on everything from Canada would make life a lot more expensive"" and says he would retaliate if Donald Trump imposes them",Miscellaneous,"Trudeau says Americans are realizing Trump’s tariffs on Canada would make life a lot more expensive Canadian Prime Minister Justin Trudeau says Americans are realizing that ""tariffs on everything from Canada would make life a lot more expensive"" and says he would retaliate if Donald Trump imposes them Canadian Prime Minister Justin Trudeau said Monday that Americans “are beginning to wake up to the real reality that tariffs on everything from Canada would make life a lot more expensive"" and said he will retaliate if Donald Trump goes ahead with them. Mr. Trump later responded by calling Canada a state and Mr. Trudeau the governor.",https://www.thehindu.com/business/trudeau-says-americans-are-realizing-trumps-tariffs-on-canada-would-make-life-a-lot-more-expensive/article68968637.ece,business
WazirX files application for creditors’ meeting to present and vote on restructuring scheme,WazirX’s crypto operating entity Zettai has filed an application with the Singapore High Court so that it can take the restructuring process forward with creditors and carry out a vote,The Hindu Bureau,"WazirX files application for creditors’ meeting to present and vote on restructuring scheme WazirX’s crypto operating entity Zettai has filed an application with the Singapore High Court so that it can take the restructuring process forward with creditors and carry out a vote WazirX’s crypto operating entity Zettai said that it had filed an application with the Singapore High Court in order to carry out a creditors’ meeting where it could present and conduct a vote on the post-hack restructuring scheme. WazirX claimed that its scheme of arrangement was aimed at providing quick and fair recoveries. If approved, initial distributions could take place within 10 business days (per WazirX’s definition of the same in the proposal) after the scheme becomes effective.",https://www.thehindu.com/sci-tech/technology/wazirx-files-application-for-creditors-meeting-to-present-and-vote-on-restructuring-scheme/article68968373.ece,business
"India's steel expansion could hinder net zero emission goal, GEM says","India aims to reach a capacity of 300 million metric tons by 2030, up from the current 180 million metric tons in the production of steel",Miscellaneous,"India's steel expansion could hinder net zero emission goal, GEM says India aims to reach a capacity of 300 million metric tons by 2030, up from the current 180 million metric tons in the production of steel India's plans to ramp up coal-powered steelmaking capacity could impede the country's goal of net-zero carbon emissions by 2070, Global Energy Monitor (GEM) said in a report on Tuesday (December 10, 2024). Prime Minister Narendra Modi has set 2070 as the target for achieving net zero emissions, two decades later than what scientists recommend to avoid catastrophic climate impacts.",https://www.thehindu.com/business/indias-steel-expansion-could-hinder-net-zero-emission-goal-gem-says/article68968315.ece,business
"Will work to understand all perspectives, do what's best for economy: RBI Governor-designate Sanjay Malhotra",Sanjay Malhotra will over as the 26th Governor of the RBI at a time when it is under pressure to cut interest rates to support growth,Miscellaneous,"Will work to understand all perspectives, do what's best for economy: RBI Governor-designate Sanjay Malhotra Sanjay Malhotra will over as the 26th Governor of the RBI at a time when it is under pressure to cut interest rates to support growth Revenue Secretary Sanjay Malhotra on Tuesday (December 10, 2024) said he will work to understand all perspectives and do what is best for the economy after he takes charge as the RBI Governor on December 11. Watch | Who is Sanjay Malhotra, the next RBI chief?",https://www.thehindu.com/business/Economy/will-work-to-understand-all-perspectives-do-whats-best-for-economy-rbi-guv-designate/article68968342.ece,business
"Sixteen-fold rise in urban sector investments since 2014, says Manohar Lal Khattar","Manohar Lal Khattar said a new rental housing vertical has been introduced under the second phase of the Pradhan Mantri Awas Yojana (Urban), benefiting the migrant population",Miscellaneous,"Sixteen-fold rise in urban sector investments since 2014, says Manohar Lal Khattar Manohar Lal Khattar said a new rental housing vertical has been introduced under the second phase of the Pradhan Mantri Awas Yojana (Urban), benefiting the migrant population Union Minister Manohar Lal Khattar on Tuesday (December 10, 2024) said there has been a substantial increase in investments in the urban sector since 2014 and emphasised the Centre’s dedication to realising the vision of ‘Viksit Bharat’ by 2047. Addressing a press conference on achievements of his Ministry, the Union Housing and Urban Affairs Minister said investments have increased 16-fold, rising from approximately ₹1,78,053 crore between 2004 and 2014 to ₹28,52,527 crore since 2014.",https://www.thehindu.com/news/national/sixteen-fold-rise-in-urban-sector-investments-since-2014-says-manohar-lal-khattar/article68968899.ece,business
China ready to go deeper into debt to counter Trump's tariffs,No Subtitle,Miscellaneous,"China ready to go deeper into debt to counter Trump's tariffs No Subtitle In one of their most dovish statements in more than a decade, Chinese leaders signalled on Monday they are ready to deploy whatever stimulus is needed to counter the impact of expected U.S. trade tariffs on next year's economic growth. After a meeting of top Communist Party officials, the Politburo, officials said they would switch to an ""appropriately loose"" monetary policy stance, and ""more proactive"" fiscal levers.",https://www.thehindu.com/business/china-ready-to-go-deeper-into-debt-to-counter-trumps-tariffs/article68968617.ece,business
The Onion’s bid for Infowars is still in Court as Judge reviews auction,The Onion’s bid to buy conspiracy theorist Alex Jones’ Infowars is back in a Texas courtroom,Miscellaneous,"The Onion’s bid for Infowars is still in Court as Judge reviews auction The Onion’s bid to buy conspiracy theorist Alex Jones’ Infowars is back in a Texas courtroom A bankruptcy Judge scrutinising The Onion’s bid for Alex Jones ’ Infowars platform was expected to hear a second day of testimony on Tuesday (December 10, 2024) after an auctioneer defended the satirical news outlet’s winning offer in November 2024. It is not clear how quickly U.S. Bankruptcy Judge Christopher Lopez in Houston will decide whether to approve the bid. The Onion, which wants to turn Infowars’ website and social media accounts into parodies, offered $1.75 million for Infowars’ assets in the auction.",https://www.thehindu.com/news/international/the-onions-bid-for-infowars-is-still-in-court-as-judge-reviews-auction/article68968127.ece,business
Rupee settles on a flat note near all-time low at 84.85 against U.S. dollar,Forex traders said markets now expect a rate cut in the upcoming monetary policy in February,Miscellaneous,"Rupee settles on a flat note near all-time low at 84.85 against U.S. dollar Forex traders said markets now expect a rate cut in the upcoming monetary policy in February The rupee settled for the day on a flat note higher by just 1 paisa at 84.85 (provisional) against the U.S. dollar on Tuesday (December 10, 2024), a tad above its all-time low level, as change of guard at the Reserve Bank of India raised expectations of a shift in the central bank's monetary policy. The government on Monday (December 9, 2024) appointed Revenue Secretary Sanjay Malhotra as the 26th Governor of the Reserve Bank of India.",https://www.thehindu.com/business/markets/rupee-settles-on-a-flat-note-near-all-time-low-at-8485-against-us-dollar/article68968915.ece,business
RBI approves Burman family entities' open offer to acquire 26% additional stake in REL,The central bank also directed maintaining of the current board/management structure of REL.,Miscellaneous,RBI approves Burman family entities' open offer to acquire 26% additional stake in REL The central bank also directed maintaining of the current board/management structure of REL. The Reserve Bank has approved the open offer of Burman family -- the promoters of FMCG major Dabur -- to acquire an additional 26% stake in NBFC firm Religare Enterprises Ltd (REL). The central bank also directed maintaining of the current board/management structure of REL.,https://www.thehindu.com/business/Industry/rbi-approves-burman-family-entities-open-offer-to-acquire-26-additional-stake-in-rel/article68968957.ece,business
"Bharat Forge raises ₹1,650 crore through QIP","The issue of the QIP was done at ₹1,320 per share while the floor price as per SEBI ICDR was ₹1,323.54 per share",The Hindu Bureau,"Bharat Forge raises ₹1,650 crore through QIP The issue of the QIP was done at ₹1,320 per share while the floor price as per SEBI ICDR was ₹1,323.54 per share Bharat Forge Ltd said it has raised ₹1,650 crore via Qualified Institutional Placement (QIP). “The issue witnessed significant interest across Domestic & Foreign Qualified Institutional investors resulting in more than 10 times the demand of the issue size,” the company said.",https://www.thehindu.com/business/bharat-forge-raises-1650-crore-through-qip/article68968555.ece,business
"Periphery areas in key real estate markets see better appreciation than prime areas, finds study",Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69%,The Hindu Bureau,"Periphery areas in key real estate markets see better appreciation than prime areas, finds study Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69% Some periphery areas have seen higher real estate price appreciation over the past six years than many prime locations in the top seven cities, according to findings by a research by consulting firm Anarock. To illustrate, Bengaluru’s peripheral area Gunjur has seen average residential price increase of 69%- it rose from ₹5,030 per sq. ft. in 2019 to ₹8,500 per sq. ft. in Q3 2024.",https://www.thehindu.com/business/periphery-areas-in-key-real-estate-markets-see-better-appreciation-than-prime-areas-finds-study/article68968508.ece,business
"Five years since inception, US development agency competes with China on global projects",No Subtitle,Miscellaneous,"Five years since inception, US development agency competes with China on global projects No Subtitle When President Joe Biden visited Angola last week, one of the highlights was his pledge of hundreds of millions of dollars for an ambitious trans-Africa rail project that would bring copper and cobalt from central Africa to the Atlantic port of Lobito. The project is possible because of the commitment of a $553 million direct loan from the US International Development Finance Corporation, created in 2019 during the first Trump administration to counter China's expansion of its global reach through infrastructure projects, such as the mega-port in Chancay, Peru, inaugurated just last month.",https://www.thehindu.com/business/five-years-since-inception-us-development-agency-competes-with-china-on-global-projects/article68968625.ece,business
Builders Association of India asks for a hike in infra spending in pre-budget proposal,It has also sought single window clearance system for infra projects and reduction in GST on construction material,The Hindu Bureau,"Builders Association of India asks for a hike in infra spending in pre-budget proposal It has also sought single window clearance system for infra projects and reduction in GST on construction material The Builders Association of India (BAI), which represents engineering construction contractors and real estate companies, in its pre-budget submission, has demanded an increase in infrastructure budget, tax incentives for infra companies, reduction in corporate tax. It has also sought single window clearance system for infra projects, reduction in GST on construction material, constitution of infra investment trust among others.",https://www.thehindu.com/business/builders-association-of-india-asks-for-a-hike-in-infra-spending-in-pre-budget-proposal/article68968496.ece,business
